date,asset_id,asset_name,opportunity_mwh,estimated_incremental_margin_usd,avg_spread_mwh,hours_flagged
2026-05-14,A01,Riverbend CCGT,2572.29780443293,22796.473186685784,19.542535590306468,11
2026-01-14,A01,Riverbend CCGT,3078.7252136829525,20759.513855882393,14.947405058158816,12
2026-06-25,A01,Riverbend CCGT,2442.28457222964,17425.29567482255,15.981573612592337,10
2026-05-14,A02,Pine Ridge CCGT,2318.796958906113,15563.082513754889,15.05554716266813,11
2026-01-02,A01,Riverbend CCGT,2149.8983738092875,15242.12353758525,15.805420835238099,9
2026-06-29,A01,Riverbend CCGT,1781.9803639825216,13989.974316295144,17.292263677695598,8
2026-05-18,A01,Riverbend CCGT,1863.6915311644068,13914.82315594036,16.37892937463425,8
2026-02-20,A01,Riverbend CCGT,2026.7776817400083,13881.766838614185,15.329549224190789,8
2026-02-06,A01,Riverbend CCGT,1773.6733373450056,13874.076927078824,17.684782012840984,7
2026-01-19,A02,Pine Ridge CCGT,2107.8008335175255,13838.1415929427,14.741233241402233,10
2026-01-31,A01,Riverbend CCGT,1772.912880773655,13827.755360659252,17.249046076287396,7
2026-02-27,A01,Riverbend CCGT,1898.480469348983,13803.523857279657,16.41979043395901,9
2026-05-01,A01,Riverbend CCGT,2015.9035220412381,13712.537121614541,15.478690133161807,7
2026-01-04,A01,Riverbend CCGT,985.3385278535613,12935.494842982409,34.721015205467666,4
2026-06-09,A01,Riverbend CCGT,1726.280829475318,12894.136756690741,16.77029351314013,8
2026-06-19,A01,Riverbend CCGT,1629.4899050240929,12870.824933038019,18.214961979990655,7
2026-01-21,A01,Riverbend CCGT,1763.6466545221233,12846.449741960072,16.06922034623909,7
2026-05-28,A01,Riverbend CCGT,1715.0144238654714,12602.585666950472,16.296821906101194,7
2026-01-08,A01,Riverbend CCGT,1952.967926340261,12481.529409489049,14.14448169292874,7
2026-05-21,A01,Riverbend CCGT,1811.9172571167005,12423.94005642786,15.132296598861615,9
2026-05-19,A01,Riverbend CCGT,1853.9786806817444,12131.311582179189,14.534174117574864,7
2026-02-09,A01,Riverbend CCGT,1631.6947312284601,12123.114348503881,16.823639153978487,6
2026-06-12,A01,Riverbend CCGT,1849.4598317673099,11869.586897820014,14.199167059147683,8
2026-06-25,A02,Pine Ridge CCGT,1762.4882718301606,11815.74911295668,15.07763978983927,9
2026-01-15,A01,Riverbend CCGT,1612.4730818994012,11797.454854125066,16.5585932634167,6
2026-03-24,A01,Riverbend CCGT,1737.1116556890452,11796.551458612703,15.102099135961282,6
2026-01-06,A01,Riverbend CCGT,1691.3076609298646,11676.09894963417,15.48573435359342,7
2026-02-16,A01,Riverbend CCGT,1689.7240733477233,11576.293471626417,15.111903264119954,6
2026-06-05,A01,Riverbend CCGT,1547.045712004549,11565.943122800767,16.81441697843061,6
2026-05-22,A01,Riverbend CCGT,1490.3314374905597,11503.325448883648,17.361960837258888,6
2026-04-07,A01,Riverbend CCGT,1508.4171331562643,11442.230013354558,17.040965083615053,6
2026-01-14,A02,Pine Ridge CCGT,1775.075339380343,11335.520526407052,14.157275629276127,9
2026-06-17,A01,Riverbend CCGT,1556.2111288184697,11243.733874229423,15.968348058692655,6
2026-01-29,A01,Riverbend CCGT,1723.1191655538728,11238.932208208973,14.747454967889553,7
2026-06-01,A02,Pine Ridge CCGT,589.3238376378645,11226.852790337467,47.154729345393,3
2026-06-21,A01,Riverbend CCGT,1519.5834227545004,11216.510004835665,16.401369282485728,6
2026-04-13,A01,Riverbend CCGT,1441.5441143523587,11199.864716744549,17.554998521095555,6
